geo_id,covariate,non_null_weeks,pct_non_null,first_non_null_date,last_non_null_date
BAR,tmean,184,94.35897435897435,2021-12-27,2025-06-30
BAR,humidity,184,94.35897435897435,2021-12-27,2025-06-30
BAR,rain,184,94.35897435897435,2021-12-27,2025-06-30
BAR,dewpoint,184,94.35897435897435,2021-12-27,2025-06-30
BAR,wind10,184,94.35897435897435,2021-12-27,2025-06-30
BAR,wind100,184,94.35897435897435,2021-12-27,2025-06-30
BAR,winddir10,184,94.35897435897435,2021-12-27,2025-06-30
BAR,gust10,184,94.35897435897435,2021-12-27,2025-06-30
BAR,soil_moist_0_7cm,184,94.35897435897435,2021-12-27,2025-06-30
CHA,tmean,184,94.35897435897435,2021-12-27,2025-06-30
CHA,humidity,184,94.35897435897435,2021-12-27,2025-06-30
CHA,rain,184,94.35897435897435,2021-12-27,2025-06-30
CHA,dewpoint,184,94.35897435897435,2021-12-27,2025-06-30
CHA,wind10,184,94.35897435897435,2021-12-27,2025-06-30
CHA,wind100,184,94.35897435897435,2021-12-27,2025-06-30
CHA,winddir10,184,94.35897435897435,2021-12-27,2025-06-30
CHA,gust10,184,94.35897435897435,2021-12-27,2025-06-30
CHA,soil_moist_0_7cm,184,94.35897435897435,2021-12-27,2025-06-30
DHA_DIV,tmean,184,94.35897435897435,2021-12-27,2025-06-30
DHA_DIV,humidity,184,94.35897435897435,2021-12-27,2025-06-30
DHA_DIV,rain,184,94.35897435897435,2021-12-27,2025-06-30
DHA_DIV,dewpoint,184,94.35897435897435,2021-12-27,2025-06-30
DHA_DIV,wind10,184,94.35897435897435,2021-12-27,2025-06-30
DHA_DIV,wind100,184,94.35897435897435,2021-12-27,2025-06-30
DHA_DIV,winddir10,184,94.35897435897435,2021-12-27,2025-06-30
DHA_DIV,gust10,184,94.35897435897435,2021-12-27,2025-06-30
DHA_DIV,soil_moist_0_7cm,184,94.35897435897435,2021-12-27,2025-06-30
DHA_METRO,tmean,184,94.35897435897435,2021-12-27,2025-06-30
DHA_METRO,humidity,184,94.35897435897435,2021-12-27,2025-06-30
DHA_METRO,rain,184,94.35897435897435,2021-12-27,2025-06-30
DHA_METRO,dewpoint,184,94.35897435897435,2021-12-27,2025-06-30
DHA_METRO,wind10,184,94.35897435897435,2021-12-27,2025-06-30
DHA_METRO,wind100,184,94.35897435897435,2021-12-27,2025-06-30
DHA_METRO,winddir10,184,94.35897435897435,2021-12-27,2025-06-30
DHA_METRO,gust10,184,94.35897435897435,2021-12-27,2025-06-30
DHA_METRO,soil_moist_0_7cm,184,94.35897435897435,2021-12-27,2025-06-30
KHU,tmean,184,94.35897435897435,2021-12-27,2025-06-30
KHU,humidity,184,94.35897435897435,2021-12-27,2025-06-30
KHU,rain,184,94.35897435897435,2021-12-27,2025-06-30
KHU,dewpoint,184,94.35897435897435,2021-12-27,2025-06-30
KHU,wind10,184,94.35897435897435,2021-12-27,2025-06-30
KHU,wind100,184,94.35897435897435,2021-12-27,2025-06-30
KHU,winddir10,184,94.35897435897435,2021-12-27,2025-06-30
KHU,gust10,184,94.35897435897435,2021-12-27,2025-06-30
KHU,soil_moist_0_7cm,184,94.35897435897435,2021-12-27,2025-06-30
MYM,tmean,184,94.35897435897435,2021-12-27,2025-06-30
MYM,humidity,184,94.35897435897435,2021-12-27,2025-06-30
MYM,rain,184,94.35897435897435,2021-12-27,2025-06-30
MYM,dewpoint,184,94.35897435897435,2021-12-27,2025-06-30
MYM,wind10,184,94.35897435897435,2021-12-27,2025-06-30
MYM,wind100,184,94.35897435897435,2021-12-27,2025-06-30
MYM,winddir10,184,94.35897435897435,2021-12-27,2025-06-30
MYM,gust10,184,94.35897435897435,2021-12-27,2025-06-30
MYM,soil_moist_0_7cm,184,94.35897435897435,2021-12-27,2025-06-30
RAJ,tmean,184,94.35897435897435,2021-12-27,2025-06-30
RAJ,humidity,184,94.35897435897435,2021-12-27,2025-06-30
RAJ,rain,184,94.35897435897435,2021-12-27,2025-06-30
RAJ,dewpoint,184,94.35897435897435,2021-12-27,2025-06-30
RAJ,wind10,184,94.35897435897435,2021-12-27,2025-06-30
RAJ,wind100,184,94.35897435897435,2021-12-27,2025-06-30
RAJ,winddir10,184,94.35897435897435,2021-12-27,2025-06-30
RAJ,gust10,184,94.35897435897435,2021-12-27,2025-06-30
RAJ,soil_moist_0_7cm,184,94.35897435897435,2021-12-27,2025-06-30
RAN,tmean,184,94.35897435897435,2021-12-27,2025-06-30
RAN,humidity,184,94.35897435897435,2021-12-27,2025-06-30
RAN,rain,184,94.35897435897435,2021-12-27,2025-06-30
RAN,dewpoint,184,94.35897435897435,2021-12-27,2025-06-30
RAN,wind10,184,94.35897435897435,2021-12-27,2025-06-30
RAN,wind100,184,94.35897435897435,2021-12-27,2025-06-30
RAN,winddir10,184,94.35897435897435,2021-12-27,2025-06-30
RAN,gust10,184,94.35897435897435,2021-12-27,2025-06-30
RAN,soil_moist_0_7cm,184,94.35897435897435,2021-12-27,2025-06-30
SYL,tmean,184,94.35897435897435,2021-12-27,2025-06-30
SYL,humidity,184,94.35897435897435,2021-12-27,2025-06-30
SYL,rain,184,94.35897435897435,2021-12-27,2025-06-30
SYL,dewpoint,184,94.35897435897435,2021-12-27,2025-06-30
SYL,wind10,184,94.35897435897435,2021-12-27,2025-06-30
SYL,wind100,184,94.35897435897435,2021-12-27,2025-06-30
SYL,winddir10,184,94.35897435897435,2021-12-27,2025-06-30
SYL,gust10,184,94.35897435897435,2021-12-27,2025-06-30
SYL,soil_moist_0_7cm,184,94.35897435897435,2021-12-27,2025-06-30
