geo_id,covariate,lag_weeks,n_obs,pearson_corr,spearman_corr
BAR,dewpoint,0,184,0.26149321844453977,0.2713279142034476
BAR,dewpoint,1,184,0.3093625155460656,0.3459270639109522
BAR,dewpoint,2,184,0.3509685132818298,0.41497821969108967
BAR,dewpoint,3,184,0.3872559192438896,0.48497854088824327
BAR,dewpoint,4,184,0.4159940144886559,0.544959423226742
BAR,dewpoint,5,184,0.4383138286665561,0.5894845428867489
BAR,dewpoint,6,184,0.4545559603737501,0.6356606734509226
BAR,dewpoint,7,184,0.4619573777964261,0.6705523243544691
BAR,dewpoint,8,184,0.4608350810615903,0.6754069200392975
BAR,dewpoint,9,184,0.45234646095893866,0.6671930118284327
BAR,dewpoint,10,184,0.4388074155492556,0.6560319302137401
BAR,dewpoint,11,184,0.4224679980229977,0.6254891102573542
BAR,dewpoint,12,183,0.4088413131127326,0.606669190702123
CHA,dewpoint,0,184,0.2901536575304778,0.366086498464434
CHA,dewpoint,1,184,0.33893400317601924,0.4429082656409501
CHA,dewpoint,2,184,0.38284007118895397,0.5200085018453882
CHA,dewpoint,3,184,0.41776237958984125,0.5931990294510595
CHA,dewpoint,4,184,0.4492024313974523,0.6617868050396799
CHA,dewpoint,5,184,0.4740924608097865,0.7057654582227266
CHA,dewpoint,6,184,0.4911767333134133,0.7449482229086531
CHA,dewpoint,7,184,0.5020935003022483,0.7765706166162883
CHA,dewpoint,8,184,0.5046554920726671,0.7928521832002776
CHA,dewpoint,9,184,0.5002862916451721,0.7912375591496563
CHA,dewpoint,10,184,0.4874579201069691,0.7738575463148633
CHA,dewpoint,11,184,0.4737152152597501,0.7400500430390787
CHA,dewpoint,12,183,0.4594712520085058,0.7212410598331869
DHA_DIV,dewpoint,0,184,0.29150638650091004,0.41967392503405565
DHA_DIV,dewpoint,1,184,0.35028430397608645,0.4975679014176305
DHA_DIV,dewpoint,2,184,0.4027030668918912,0.5747715876375822
DHA_DIV,dewpoint,3,184,0.4475755939642557,0.6455037260636601
DHA_DIV,dewpoint,4,184,0.48552227866311287,0.7117700943183057
DHA_DIV,dewpoint,5,184,0.5147980641634611,0.7640144135780007
DHA_DIV,dewpoint,6,184,0.535166150761552,0.8105619393614162
DHA_DIV,dewpoint,7,184,0.5459197851744158,0.8352061261422606
DHA_DIV,dewpoint,8,184,0.5461067162555439,0.8377576576395555
DHA_DIV,dewpoint,9,184,0.5381677552471477,0.8271537931864313
DHA_DIV,dewpoint,10,184,0.5223809656283995,0.7978857488284703
DHA_DIV,dewpoint,11,184,0.5051661031277549,0.7578415473630425
DHA_DIV,dewpoint,12,183,0.49062330941722,0.7342439172649362
DHA_METRO,dewpoint,0,184,0.3270126266340201,0.4356315863681525
